competence_programmation,competence_math,competence_physique,competence_electronique,competence_mecanique,competence_chimie,interet_aviation,interet_informatique,interet_donnees,interet_securite,interet_robotique,interet_energie,interet_cartographie,interet_automobile,trait_analytique,trait_creatif,trait_rigoureux,trait_aventureux,trait_methodique,moyenne_math,moyenne_physique,moyenne_informatique,moyenne_generale,filiere_cible
10,6,5,7,6,3,5,6,3,2,3,4,8,4,6,2,6,6,6,11.655324196775315,8.701096069651914,17.434202274681233,9.952249963543597,Génie Logiciel
10,8,7,7,5,7,7,7,7,6,6,7,8,3,3,5,5,7,6,9.316742623904265,9.615556311916649,17.080875437725783,11.654919560723615,Big Data
9,8,5,3,4,6,5,10,5,7,4,6,7,4,4,6,5,7,2,8.095562889105022,8.652396625451184,13.630435901766603,8.136104661135182,Intelligence Artificielle
2,4,6,2,8,2,4,6,7,6,5,5,7,5,3,3,5,3,4,10.794216976148185,11.385944611998617,11.391188851972732,11.723153131545008,Maintenance Automobile
5,4,9,6,3,6,9,7,4,4,5,7,6,6,4,7,6,2,2,8.041879185378251,12.07883374658139,8.301640593026635,11.256998721868477,Pilotage
9,8,6,4,2,4,6,8,6,7,5,3,5,7,4,2,4,6,3,8.72302435994239,12.554689613286394,16.623923005759607,13.417725490912368,Intelligence Artificielle
9,8,6,5,4,4,6,7,5,4,5,7,5,6,8,3,8,8,5,11.665278749404946,10.02439380739116,14.57094266378474,8.158139784706721,Génie Logiciel
6,7,6,4,6,6,4,10,6,4,2,7,4,7,4,5,5,7,2,12.608478981137402,13.215816280566992,13.535465605563024,11.491248954292352,Génie Logiciel
7,5,4,8,3,6,5,5,5,3,4,6,3,7,6,5,5,3,5,9.903746680361207,9.149856662227707,12.278752413464474,8.923298030360684,Robotique
6,6,5,4,7,6,6,5,6,6,5,7,7,4,6,7,7,6,8,11.660340529873714,13.907808226089847,11.569458459546311,10.011899499189845,Cybersécurité
6,5,4,2,7,2,3,6,6,6,3,5,5,7,6,2,3,5,7,13.674613091000458,13.321646676884642,8.863897090459629,9.397066105311643,Cybersécurité
7,6,3,4,6,6,3,7,8,3,4,5,3,4,5,4,4,5,3,12.638265372524447,9.485934197328564,17.003576644718315,13.108385351538587,Big Data
7,3,7,5,5,8,10,5,5,6,4,2,4,2,6,6,3,2,4,10.625037706064319,14.220334728615422,10.199100240421634,11.496408912307583,Pilotage
4,7,10,7,3,6,8,7,6,5,3,5,3,6,5,5,6,4,7,11.272293774230306,16.788558496687344,12.18432927564069,12.781112408307111,Aéronautique
7,4,5,3,4,5,6,4,6,7,5,4,3,4,7,7,4,4,5,10.052645712873092,11.541482319945057,9.892332447102909,13.470547655750742,Cybersécurité
8,9,4,7,8,5,4,9,7,5,6,7,3,4,4,4,4,8,3,9.951531205716355,9.894535718012552,13.286849027206749,12.959422925358968,Big Data
4,4,6,4,3,4,6,7,5,3,6,7,8,5,4,4,6,4,6,11.915092197411386,8.270746929803074,8.492799773775058,13.135447988164028,Maintenance Automobile
7,5,8,2,3,6,4,3,4,8,5,4,4,6,5,8,5,7,3,9.67559318252999,9.847087405935945,12.865955484954448,13.554142179345614,Robotique
5,6,2,5,5,7,6,7,2,8,4,3,6,6,3,4,4,2,5,13.891632519355475,13.997098124263871,11.620250414277255,8.56727529888023,Cybersécurité
5,4,7,7,7,4,5,5,4,4,5,6,8,6,7,5,2,6,6,10.812465147406446,10.264939067748967,12.42945485079517,13.018383240439647,Cybersécurité
2,6,6,8,7,5,8,4,3,6,5,6,3,7,4,5,2,5,6,9.39992914171658,10.260562570743556,11.324865634491918,13.3581779906845,Topographie
6,7,9,4,5,8,9,6,4,6,7,6,2,5,2,7,5,6,6,8.515834102239449,16.020044623752693,8.837717792285357,10.553493822090571,Aéronautique
8,6,8,4,6,3,2,9,2,4,3,7,5,4,5,8,6,3,5,11.080115767075679,11.01431091227667,15.223375285573733,8.846602799314399,Intelligence Artificielle
5,3,4,3,6,6,5,6,3,7,5,7,3,4,6,7,6,4,3,9.533230048364054,12.092305938259003,11.371269133619098,9.555484593423888,Pétrochimie
6,6,3,3,4,5,7,5,7,6,6,3,6,7,7,7,3,5,2,10.235935466091977,8.398089342897396,11.70739876436762,11.035432297769953,Cybersécurité
10,7,4,8,4,3,6,7,3,4,6,2,3,3,4,7,8,6,7,8.23377537936189,10.727105122927476,14.693513512060065,9.283225452056081,Intelligence Artificielle
5,7,7,6,4,4,7,3,6,5,5,6,3,7,5,6,7,6,5,9.972867749141985,12.900855362789235,10.685551570729615,9.468340311937638,Cybersécurité
9,8,7,4,4,5,7,9,4,8,4,5,3,3,3,5,3,7,5,8.653121404097213,8.818096005784273,14.446586175366434,12.208298656540956,Intelligence Artificielle
2,4,3,6,4,6,2,4,6,5,2,6,5,5,6,5,6,4,6,11.9427412950755,8.958679785875729,8.881733079263876,11.11443512642748,Pétrochimie
5,6,6,6,5,6,4,5,4,6,8,8,2,6,3,6,4,7,4,13.888155363302307,9.350918001968173,8.04099934867545,12.27380785225505,Robotique
10,10,5,2,5,4,7,9,5,5,7,6,6,6,2,5,8,5,2,11.321657562205417,10.778966898003361,14.541857252906635,13.60621246328652,Intelligence Artificielle
8,5,6,2,7,3,2,3,5,8,3,5,6,5,3,3,4,3,3,13.612603919118392,10.724980183421962,9.67382642817473,8.454220196952315,Cybersécurité
7,6,10,7,6,5,8,6,7,6,5,6,5,4,2,6,2,6,5,12.389326495004367,12.140021788906225,13.474436075873816,13.679605738760397,Pilotage
4,5,7,5,2,7,7,5,4,4,4,5,3,6,4,5,5,3,4,12.941695117357042,12.220509693598032,11.021583135716352,9.901452848059781,Pilotage
5,4,10,4,6,6,9,8,2,2,3,6,3,3,8,8,4,2,5,8.441990224438523,14.302422625505244,8.140245641581192,12.53599784363116,Aéronautique
9,10,3,4,5,8,4,6,6,7,7,3,6,4,3,6,6,3,3,9.736036246864469,8.02168753476709,13.590104594929258,12.005616012436171,Big Data
8,5,7,5,5,4,4,9,7,6,5,7,7,6,6,3,6,5,3,8.493074593834997,11.89653025082706,15.795396789028104,9.895856414936292,Intelligence Artificielle
8,7,2,3,4,4,6,4,4,4,3,6,8,7,5,5,6,7,4,11.090042154980804,12.362243238168343,11.209211158184903,9.014160094670626,Topographie
4,5,7,7,6,3,10,6,6,4,3,2,4,5,3,7,4,3,8,13.841093887374466,14.830213095655008,10.710487440107102,13.963677073770905,Aéronautique
8,6,3,6,6,8,5,10,5,4,4,3,2,7,2,4,2,5,5,8.57906284411195,11.746171926417473,17.398542864858236,12.350087497356359,Intelligence Artificielle
9,6,6,2,2,3,6,6,3,7,4,2,5,6,6,8,4,4,4,8.499536701510229,13.670712372248412,14.65359830122419,13.897479807311925,Génie Logiciel
7,4,5,6,6,6,3,6,4,3,7,6,7,6,3,7,4,3,8,11.645056586151895,8.29854616693751,12.914582027688077,9.984890199764372,Maintenance Automobile
8,8,2,3,4,7,4,7,4,3,4,5,4,4,7,3,2,5,3,10.352521338230396,13.43254073652928,16.727471332864233,13.844131550442173,Big Data
8,7,3,5,5,7,6,5,4,6,5,3,6,5,6,5,4,6,7,10.50306260945986,11.892174301576112,8.393730220260952,9.50792353983205,Objets Connectés (IoT)
7,10,6,2,7,7,5,7,6,4,7,5,5,4,4,6,8,6,8,8.416696425730311,13.309878236472986,13.594931947228595,10.739493139644148,Intelligence Artificielle
6,4,3,3,7,3,3,7,5,2,6,4,6,4,5,6,3,7,4,13.863004588474698,8.961973001637205,10.128032369449155,11.899561212607725,Objets Connectés (IoT)
10,6,2,4,5,4,3,8,5,6,5,5,4,4,2,6,3,4,4,13.769109604612353,11.559982328015677,15.921179192465457,13.582956654402219,Intelligence Artificielle
9,8,6,6,5,5,3,10,5,7,8,8,7,6,3,2,5,3,7,12.466091199548556,11.284047561515429,13.993053819559977,13.040458404525214,Big Data
7,6,3,5,4,5,8,8,6,4,7,6,4,4,5,2,5,3,5,11.010713239584993,10.808303159392254,14.819531654310675,12.873027139560232,Génie Logiciel
7,10,7,6,8,4,2,9,5,5,3,6,7,4,6,5,7,5,4,12.14421499061863,13.784012300974624,16.61983497494013,9.583120548706262,Big Data
7,7,6,7,3,6,8,4,4,7,4,2,7,5,4,6,3,4,3,13.356717044604945,8.757269665437844,11.862972774838074,9.381386309660332,Cybersécurité
6,3,9,6,6,8,10,8,6,3,6,6,4,6,5,6,8,6,7,11.48202412472319,12.161420002932514,8.628722341716681,11.294457130499651,Pilotage
5,2,7,3,3,6,3,5,2,5,6,3,5,5,4,4,8,7,4,11.574716843114558,13.082819088104756,13.984999321545583,13.827513445749837,Cybersécurité
5,6,9,4,4,2,9,7,4,7,6,3,5,2,5,6,2,2,7,9.078506018829504,14.362971498343832,10.14580631359792,13.998713364939242,Pilotage
6,6,6,4,4,4,6,7,7,5,2,4,4,6,8,6,4,2,6,13.765297131657206,12.757785523976015,8.42066010010235,10.783088257708048,Topographie
5,6,8,4,6,3,9,5,2,6,6,5,3,4,4,3,4,6,7,12.299218310387815,12.494605487043085,12.835994882378007,10.6273372580064,Pilotage
2,7,4,6,4,7,5,4,4,2,4,6,8,2,6,3,5,7,8,9.460464255043094,12.103612107450765,9.894214989506875,12.852657282867769,Pétrochimie
4,5,6,6,7,7,4,4,4,6,4,5,4,5,8,6,6,5,2,12.746739132960382,13.942918752050009,9.110574397608467,11.736751430990395,Robotique
5,3,5,5,2,5,3,7,6,4,8,5,6,5,6,6,4,2,7,12.37628730777661,9.389827593150908,13.092526245221956,12.66948123960081,Maintenance Automobile
4,6,6,7,5,6,8,8,7,3,7,6,3,5,4,5,5,5,7,9.721828588492446,8.948258640548067,9.57399902674294,10.392206625151733,Cybersécurité
4,2,2,6,6,5,8,3,3,3,7,2,5,4,3,4,7,7,6,12.41273693775522,12.87420312249063,9.345766418132097,9.292653293798168,Cybersécurité
2,6,8,8,4,5,8,4,3,5,3,7,7,4,5,7,5,2,5,9.522688673996644,10.084661095154047,8.15385630267192,13.180745624352575,Cybersécurité
6,5,6,2,5,3,5,4,6,7,3,4,8,2,6,5,2,3,5,11.282452013607834,9.84938337351571,8.74205156496534,13.027774563360358,Robotique
6,7,7,5,2,6,6,5,5,5,2,4,6,6,6,3,8,5,4,10.72948441264758,10.696025926903157,13.544391027483918,8.640189511476294,Objets Connectés (IoT)
6,4,8,3,2,4,6,5,5,4,7,4,5,4,4,3,5,7,3,13.460433052334263,11.462444887935266,11.800344204317025,9.7728288871196,Maintenance Automobile
8,2,5,4,6,6,8,5,6,6,7,6,3,6,7,6,7,6,7,11.242904955809234,13.204614995730537,12.38836388271747,12.067758503798196,Objets Connectés (IoT)
2,4,6,3,7,6,5,5,3,4,6,3,4,4,3,3,3,7,4,11.916917655638908,8.949355191146491,9.1174732675438,9.643537312504709,Robotique
5,4,5,5,8,4,7,4,5,8,4,4,7,4,3,3,6,4,6,9.564477920363162,13.925946435232731,9.094971854833416,9.153242590383009,Maintenance Automobile
10,8,6,8,4,4,3,7,5,3,4,6,3,3,6,6,6,5,7,9.17799147531834,8.925576338191775,15.394352170726119,11.781692588331797,Intelligence Artificielle
7,4,4,6,7,4,3,5,2,5,6,3,3,3,4,5,5,4,5,9.641984970281746,10.673471822509384,8.803119422449093,12.247122219482563,Topographie
6,6,7,4,7,5,7,5,4,4,4,6,4,3,3,3,3,5,5,12.31216266783812,14.81188506195,8.045924555623895,11.356290720655101,Pilotage
7,6,6,6,4,8,2,4,6,2,5,7,2,8,6,8,2,2,4,9.254228508485834,11.483851721373709,13.726861245871511,9.271824049714171,Objets Connectés (IoT)
6,6,4,7,4,6,2,4,6,6,6,3,5,6,8,3,6,6,4,10.698675437765406,13.544357130746935,13.052319878900398,12.253752317181883,Robotique
9,7,5,5,2,7,3,8,2,5,7,5,4,6,4,6,6,5,4,10.164998033937215,13.695721534463482,13.02551473674589,13.596587109803771,Intelligence Artificielle
7,4,6,4,3,5,5,8,4,6,4,6,2,4,6,7,6,3,5,9.751442950100419,8.915912387787206,12.931829106464063,8.174918460843854,Objets Connectés (IoT)
3,7,6,5,4,4,6,5,3,8,7,4,6,2,5,3,7,5,7,12.045732677860034,8.452985084448693,13.672186818920256,10.731061817740208,Maintenance Automobile
5,5,8,3,6,3,4,8,2,8,4,8,7,8,4,3,3,4,6,8.380648247005231,9.980345995425612,11.814186033790497,9.740279333248276,Maintenance Automobile
5,3,8,4,4,6,9,7,4,7,2,4,5,2,5,6,6,4,2,9.609448143132783,16.67868155506931,8.461241526281764,10.15253232800124,Aéronautique
6,7,9,3,7,2,10,3,5,7,5,6,6,6,8,6,6,4,5,11.75440418494641,12.883493119655741,11.436206614348606,11.358313488579096,Pilotage
3,4,6,6,5,7,3,6,5,6,6,2,8,3,3,5,8,6,3,9.279566021639857,12.459651162453206,13.395793916630812,10.86046617201869,Topographie
7,3,8,4,4,6,6,5,2,8,4,2,7,7,7,3,5,6,6,11.546852106490634,10.955152890029703,13.670006974575843,10.17453247575624,Cybersécurité
4,7,6,6,6,2,2,3,6,6,7,5,6,8,3,2,7,4,3,9.077266438987667,10.877134469371729,8.415258593396675,12.998115283995922,Pétrochimie
6,6,2,6,3,2,5,4,6,5,7,3,4,8,6,7,4,2,8,10.748361206898455,12.402307314487143,12.747781746778823,9.931829300383013,Maintenance Automobile
7,7,3,6,6,2,5,10,4,5,4,5,4,6,4,4,7,6,8,10.876719785492131,12.797977603698257,15.824591480676288,13.179172556950283,Intelligence Artificielle
7,7,8,4,5,6,7,7,3,5,5,7,3,5,5,7,6,3,3,9.245458541913733,15.354719846245285,10.591304487917434,12.939699209592547,Aéronautique
8,4,8,5,5,3,6,4,7,7,5,3,3,6,6,6,5,6,3,12.144653478091962,8.142141480508645,8.529831524997762,9.318152977616144,Objets Connectés (IoT)
10,8,8,4,6,5,4,7,8,7,3,6,5,7,2,8,3,4,6,9.107583410410557,8.5152163659349,15.571371102374798,11.0771190628275,Intelligence Artificielle
10,6,3,5,4,4,5,7,3,8,5,5,7,7,3,4,8,3,6,8.392768438371382,12.927401183922314,15.54477461538416,10.038304813607208,Big Data
4,7,4,7,3,5,4,3,6,6,8,6,4,5,3,6,5,5,4,9.658425117035927,10.78145217465903,10.24466938970744,11.949192986166945,Topographie
9,8,7,2,6,3,4,7,5,6,6,7,3,4,4,7,6,5,4,9.652052992372095,11.602534732145092,15.041423144527364,10.052039656960584,Big Data
8,9,4,2,5,3,5,10,4,4,4,7,7,5,2,4,8,7,5,11.659959977199634,11.917924215992308,15.469483597897302,11.196646954542283,Intelligence Artificielle
7,5,6,5,3,6,3,3,5,3,3,6,7,6,6,5,4,6,4,11.393942455178877,8.294935756374185,9.53419741920471,12.69971014483103,Maintenance Automobile
6,4,5,4,5,4,6,4,2,7,6,6,8,4,3,4,5,5,6,8.764007169625227,8.602926482834304,8.720146525532924,9.141531441540781,Pétrochimie
3,5,3,2,7,3,6,4,4,4,7,3,3,7,5,3,6,8,6,10.334606019559608,8.516081021674486,10.347549518847382,11.548966334623977,Objets Connectés (IoT)
8,7,4,3,4,4,6,10,4,4,3,5,5,5,7,6,8,4,6,9.086587433252825,9.962997506595869,17.35136675737695,10.187382463695064,Intelligence Artificielle
10,7,3,6,8,6,6,10,8,2,8,5,6,6,7,4,5,4,4,9.678765266843378,12.824290465064433,15.464763069296058,13.626266022231968,Génie Logiciel
4,7,3,4,5,7,5,8,7,4,3,3,6,3,3,3,4,5,4,10.185471389387127,9.229960558332925,12.870959532211199,10.661276165385082,Robotique
10,7,6,4,2,6,5,10,3,4,3,5,5,4,4,6,3,4,5,8.459808713010267,12.763300968742556,15.74814077418947,9.836478970970315,Intelligence Artificielle
8,6,2,4,5,4,8,5,6,4,4,7,6,5,5,4,4,4,6,12.41818515182483,8.563906294436384,12.544054068123923,9.54297436173575,Cybersécurité
7,6,2,5,6,3,5,8,5,6,4,3,3,5,4,6,3,8,5,8.775888726015584,11.785604286191182,17.527669497371573,8.818034346287064,Intelligence Artificielle
7,3,3,6,3,4,8,5,4,6,5,8,8,3,7,7,4,3,3,11.4710164710147,13.766214808286678,12.042091850098434,12.021498447776848,Maintenance Automobile
6,5,7,3,8,2,4,7,7,6,4,6,4,7,4,3,7,2,3,13.76626702476672,11.006742249621038,9.975033990774936,8.499230024966662,Cybersécurité
2,5,10,4,3,7,8,6,5,7,7,5,2,5,6,6,6,2,7,10.133082054545445,12.631117549480088,8.623909361970881,10.295795099476786,Pilotage
8,10,7,7,6,2,6,10,7,6,5,6,2,6,7,4,4,5,7,9.991581563376315,10.950078634453842,15.865483168488742,12.914495507199907,Big Data
6,5,5,6,5,7,6,5,4,6,2,6,6,8,6,3,4,3,8,8.40839962387833,12.766077957164386,10.156510805561007,9.969613314478211,Robotique
9,7,7,7,6,5,4,9,4,5,6,6,8,5,5,4,4,2,3,11.748858715108605,10.561033392710746,14.601057203637914,10.810857764988898,Big Data
6,4,9,5,5,5,10,8,4,7,6,4,4,4,4,4,3,2,6,12.218989767371616,16.082608184697975,10.541701129808253,8.161165944262383,Pilotage
5,4,6,5,6,5,8,4,4,6,5,4,8,4,8,3,7,3,6,11.868496778707648,8.178370724108131,13.636692398750764,13.591857886214049,Objets Connectés (IoT)
7,3,6,4,5,4,5,6,4,3,7,5,3,6,6,6,4,4,7,10.634174725114953,12.901348334618984,11.002856925433017,13.331230475790882,Cybersécurité
6,4,6,6,6,4,9,4,6,6,8,5,2,5,5,6,7,5,4,10.859041501036629,12.375685076972138,13.900160794015939,12.019457090087364,Pilotage
4,3,5,8,5,6,5,3,3,7,4,8,8,5,7,5,4,5,5,8.420412670630625,11.02498108739615,11.733419106772972,8.178221958548963,Pétrochimie
9,8,8,6,7,3,6,8,7,4,6,4,4,6,5,5,5,5,5,8.456947065098008,13.008826783134644,16.984034370303135,10.560593972225547,Génie Logiciel
6,5,9,7,3,4,9,7,4,7,6,7,6,6,7,3,6,3,6,13.81077202473335,15.06589881303635,13.957940460882583,12.357096037561051,Aéronautique
5,4,6,8,5,5,6,4,5,4,7,3,7,4,5,4,5,4,4,11.749003609097775,8.232439138452499,9.677777143885688,9.063370235185605,Topographie
8,8,7,3,2,5,5,9,6,6,5,4,7,7,4,3,6,6,6,8.893448346148993,10.930401114326036,17.24150937032691,13.014613710368895,Génie Logiciel
10,10,7,7,5,3,3,9,4,4,6,3,7,4,3,7,5,6,4,13.983048321309942,10.733344806377207,15.642582887887517,10.92555189897628,Intelligence Artificielle
8,4,10,7,7,4,10,4,5,6,6,5,5,4,5,5,4,5,4,8.1080488593674,16.132270808949787,12.02163893791643,12.917029617716278,Aéronautique
6,3,3,8,5,8,5,8,3,4,4,4,5,4,6,3,3,6,3,10.264863626352232,12.39541024712344,12.275314245674103,9.883823276419928,Pétrochimie
5,6,7,3,5,6,6,7,4,5,7,5,3,4,4,5,6,4,3,9.262661984587055,11.473363374400739,8.284374216138428,9.601771906359335,Objets Connectés (IoT)
8,6,7,6,4,6,3,9,4,7,7,5,4,4,5,4,6,6,7,13.956631061127027,11.0412127730679,15.34775786551511,9.872013406962466,Big Data
6,6,3,8,4,6,6,4,5,4,5,7,8,4,3,5,3,5,4,11.720622063598828,10.24012712950454,9.162554340725626,9.678621165047568,Objets Connectés (IoT)
3,6,6,4,5,3,5,5,6,6,4,8,8,6,2,6,5,6,4,13.875509039777397,12.926564725288026,8.62315525265221,8.730233912590881,Maintenance Automobile
6,7,6,5,6,7,8,6,7,5,4,5,8,5,4,6,3,3,6,13.238725458839193,13.19997788691119,9.406543243678064,12.853518675527255,Pétrochimie
6,3,9,3,3,4,7,3,5,4,5,5,4,4,4,4,3,2,6,10.475597732837524,14.953446463870007,8.595439847785977,13.844540429497252,Pilotage
5,6,3,2,7,3,8,4,5,7,3,7,3,2,5,3,4,5,6,10.678568259622683,10.962197677239963,12.470456587638626,10.408603508108136,Objets Connectés (IoT)
4,8,5,2,4,2,6,5,6,6,5,6,6,7,6,2,5,5,5,8.904517787910919,9.621123918219732,13.650916794566509,10.528541620871891,Objets Connectés (IoT)
7,10,5,7,5,5,6,9,6,4,6,5,6,5,8,5,7,3,7,10.861705423098766,10.7055791253091,13.055632867999117,8.832617571234433,Big Data
6,4,3,7,5,3,3,5,7,3,5,7,6,2,7,5,6,7,6,12.36248309218752,11.269724251629313,10.96575833430574,8.491421505968498,Objets Connectés (IoT)
4,7,6,2,7,2,3,5,8,7,4,6,6,7,6,5,5,5,6,12.18565964595064,12.940674818125961,10.581390358209369,13.098410982312569,Cybersécurité
8,10,6,7,4,7,7,9,3,3,3,6,7,8,4,6,5,7,3,11.8634884344031,10.682690518713935,13.249351441012927,12.834246899867779,Big Data
7,7,7,3,5,3,2,6,5,6,4,6,7,2,4,7,6,3,6,8.103776222424315,12.136034133999928,10.613449642409508,11.630903607436592,Robotique
3,6,9,2,5,7,9,6,5,6,3,4,5,6,7,2,4,7,5,12.880834859308234,16.048677360350577,11.547326972964983,13.244103308000323,Pilotage
9,8,7,7,4,5,3,10,4,3,6,6,3,8,5,7,4,7,4,12.1542810852647,9.852203569971573,15.087223843199192,13.214808658185454,Big Data
6,5,9,6,7,7,7,6,6,5,4,4,5,5,4,7,5,4,3,9.538364395151275,16.098678079314578,11.932323206819838,8.640634284636487,Pilotage
5,6,7,3,6,6,10,7,3,6,4,7,2,3,3,2,6,4,3,9.011323049529409,13.106982175083816,9.985069754178918,12.06455704526394,Aéronautique
2,6,6,4,5,8,9,5,4,6,3,8,4,3,7,7,7,6,3,13.975178803423603,16.814485366633367,8.993882889368486,12.723100481902645,Pilotage
5,4,6,2,6,6,6,3,7,6,6,5,4,6,4,7,6,3,3,10.563943820024797,11.468325766218616,12.425766918085712,10.860198589776404,Maintenance Automobile
5,4,2,7,8,4,6,5,2,3,4,5,5,3,6,5,5,3,4,8.683233256310578,11.380080221413365,12.747353613853315,8.955381941197032,Robotique
4,5,7,8,5,7,7,5,6,6,8,5,4,6,8,6,4,7,5,9.902823384858428,12.606957482120592,11.022916893568626,13.64077910085626,Pétrochimie
6,6,4,6,5,7,4,6,4,4,4,6,7,7,5,8,4,6,5,12.927987533395214,13.967135000519702,11.463216140554135,13.719766459300173,Topographie
3,5,9,7,3,6,7,4,6,6,5,7,4,8,5,6,6,4,3,12.435398160646084,16.572816579903208,8.00571774341486,10.17861500498832,Aéronautique
6,5,5,6,8,7,7,6,6,6,5,2,7,7,4,4,6,2,7,10.60675065024887,13.910418258427388,8.929370804012839,9.585085563628269,Pétrochimie
4,4,6,5,7,3,6,4,6,6,7,8,8,6,6,3,4,4,2,10.661005239485927,9.384141801639004,10.108120868613497,11.868171021478556,Robotique
3,3,4,4,8,6,6,4,4,5,6,3,6,8,7,6,2,6,6,11.70816472152833,10.478578821248583,13.136985285700128,11.76293980883409,Maintenance Automobile
9,7,4,4,2,4,4,9,4,4,5,6,5,6,5,8,5,3,4,8.961467456894626,10.83539414815155,15.324132943219322,9.318516848741337,Génie Logiciel
7,4,3,7,5,2,5,5,6,3,4,6,7,4,7,8,6,7,4,8.989294223095344,11.72446047791918,11.635312890738469,8.388541508610022,Objets Connectés (IoT)
10,7,5,4,4,4,3,9,3,6,2,3,3,6,5,4,5,5,5,13.664642225611704,9.187628692576686,16.36920615586214,10.213630174334007,Intelligence Artificielle
4,5,7,5,3,4,8,5,4,3,3,7,8,6,4,6,8,3,6,12.421380327300623,11.213999849837393,10.379691397068402,11.648646906162302,Pétrochimie
7,10,3,4,4,4,7,9,4,8,4,4,6,7,4,4,6,6,5,13.51869185197676,10.1622343358681,14.461527292511411,12.820964841945111,Big Data
8,9,5,4,7,4,6,8,6,5,6,4,4,6,3,8,2,4,5,13.858598245656088,12.570049838521852,16.31290848069376,9.147446678369406,Big Data
2,7,10,7,2,6,10,6,3,5,6,5,4,5,3,7,5,6,5,12.912280712172663,15.873273970368007,10.888149738519772,13.596653499979448,Pilotage
7,7,5,5,4,4,6,9,4,2,4,6,5,5,8,7,2,4,5,10.607587137403442,13.99118798456491,15.052160415699593,8.113617342466478,Big Data
4,7,8,6,6,5,3,3,7,2,5,3,3,2,3,3,4,7,6,8.421893529811342,8.387522662002487,12.352368633840634,13.105403970789073,Maintenance Automobile
7,5,9,3,4,5,8,8,5,7,4,3,7,8,4,7,4,3,5,9.422098404289349,15.810258028308319,9.048838413228253,9.367786918886463,Pilotage
4,2,8,5,5,2,2,4,6,5,5,4,5,2,5,7,8,4,5,12.985948017822537,9.33028170217367,8.270135716404958,13.059848813951403,Robotique
5,7,8,5,2,7,3,6,5,5,4,8,4,4,3,4,6,5,7,12.524214206057028,8.387165907133854,12.368648730425432,11.45454380805209,Maintenance Automobile
10,8,3,7,6,2,3,9,2,7,2,6,2,4,5,7,8,6,4,11.891521794518113,8.819488887174074,14.984191162788566,13.298342191780907,Big Data
7,3,9,6,6,6,9,5,5,4,3,4,4,5,7,5,3,8,3,11.311687568413825,12.80663700073789,10.73096691673951,8.875279518402406,Aéronautique
6,8,3,8,3,8,5,3,8,6,6,6,3,6,2,6,5,3,6,8.938988875616738,9.8467351457065,8.083917432527068,9.449569536254591,Pétrochimie
5,4,5,4,4,3,6,3,2,5,2,4,7,7,5,4,6,5,5,9.376952132074774,11.295804574680378,12.982921424512291,11.64118583454158,Topographie
2,5,6,6,3,4,4,8,4,6,6,5,5,5,6,4,7,5,5,10.89519315971769,13.116461519246156,9.2205852052369,9.36462239386336,Cybersécurité
6,6,4,3,6,8,7,4,6,6,3,4,5,6,2,6,7,3,6,9.856356326172683,12.001150120349822,9.232491357878589,13.768018380704085,Maintenance Automobile
